GivenName,Surname,City,ZipCode,Username,Occupation,Title,TelephoneNumber
Abdiaziz,Kamping,Capelle aan den IJssel,2903 TL,A.Kamping,Automotive service technician,Mr.,06-26508433
Amela,van Looij,Hulshorst,8077 RA,A.vanLooij,Computer-controlled machine tool operator,Mrs.,06-59754852
Ingmar,Wierstra,Zutphen,7203 BJ,I.Wierstra,Refrigeration mechanic,Ms.,06-22263037
Kassandra,Doldersum,Rotterdam,3052 PT,K.Doldersum,Structural and reinforcing iron and metal worker,Ms.,06-10481726
Cheng,Fidom,Purmerend,1445 KV,C.Fidom,Information specialist,Mr.,06-34334317
Mirko,Mouthaan,Ede,6718 TE,M.Mouthaan,Macromolecular chemist,Mr.,06-22410785
Jaromir,Haase,Amsterdam,1052 AG,J.Haase,Gas pumping station operator,Mr.,06-34202970
Imar,Bekers,Heerhugowaard,1705 CJ,I.Bekers,Fishing vessel operator,Mr.,06-35595203
Adelheid,Baan,Deventer,7421 LL,A.Baan,Fabric mender,Mrs.,06-51029612
Mathijs,Dekkers,Rhoon,3161 EN,M.Dekkers,Automotive glass installer,Dr.,06-79357304
Nour-Eddine,Hiddink,Elst,6661 EC,Nour-E.Hiddink,Rancher,Mr.,06-56753160
Rashied,Vrede,Nieuwegein,3435 RS,R.Vrede,Oral and maxillofacial radiologist,Mr.,06-44518833
Elseline,Nomden,Den Haag,2492 TJ,E.Nomden,Brokerage clerk,Ms.,06-12346275
Antonio,'t Hoen,Wierum,9141 TV,A.'tHoen,Cartoonist,Mr.,06-48210505
Renier,Kappen,Middelburg,4332 SK,R.Kappen,Manufacturers,Mr.,06-60319918
Janske,Heijmen,s-Gravendeel,3295 KK,J.Heijmen,Broadcast and sound engineering technician,Ms.,06-54574988
Winand,Volders,Beekbergen,7361 GD,W.Volders,Aircraft surfaces assembler,Mr.,06-93658569
Irena,Knobbe,Hoofddorp,2131 PM,I.Knobbe,Real estate closer,Mrs.,06-13631900
Danieke,Zwart,Amersfoort,3817 DD,D.Zwart,Aquaculture farmer,Mrs.,06-27974425
Clim,Pouwels,Zoetermeer,2726 BJ,C.Pouwels,Plant manager,Mr.,06-57495592
Nathaniel,Holtrop,De Bilt,3732 XK,N.Holtrop,Remote sensing specialist,Mr.,06-73644905
Marcin,Vleeming,Hoogeveen,7901 GB,M.Vleeming,Allopathic physician,Mr.,06-41588218
Crystal,Timmerman,Meijel,5768 AZ,C.Timmerman,Passenger service agent,Ms.,06-67576352
Sevine,Karstens,Emmen,7828 CB,S.Karstens,Consultant dietitian,Mrs.,06-49291182
Nur,van Deurzen,Vught,5262 RS,N.vanDeurzen,Electronics engineer,Mr.,06-79931515
Basma,van Buren,Vlaardingen,3132 XM,B.vanBuren,Industrial engineer,Ms.,06-48414608
